latitude,longitude
40.43123,-3.72162
40.42762,-3.70964
40.43556,-3.71378
40.4175479,-3.7039177
40.37855,-3.65079
40.41688215552406,-3.707293420896431
40.37621,-3.76562
40.40056,-3.7054
40.45297,-3.59165
40.42242,-3.70748
40.43826,-3.6681
40.3876,-3.74534
40.4154,-3.70936
40.48841,-3.66515
40.43583,-3.6821
40.41273,-3.70562
40.38312,-3.62279
40.42194,-3.70123
40.44112,-3.6987
40.4135,-3.70145
40.4065,-3.70123
40.42978,-3.66701
40.46675,-3.67197
40.4244,-3.69996
40.42159,-3.69677
40.42359,-3.61705
40.41295,-3.69864
40.43588,-3.64785
40.43481,-3.65865
40.47777,-3.70417
40.46075,-3.65472
40.4090084,-3.733182599999999
40.435966,-3.6582911
40.42412,-3.70783
40.44382,-3.67191
40.3942,-3.74188
40.39547306478599,-3.70866150660548
40.42842,-3.69773
40.41236,-3.69515
40.4463,-3.71216
40.45514,-3.70371
40.39024,-3.73657
40.430398400001785,-3.7203317435146976
40.40585,-3.69175
40.49243,-3.68867
40.4552308069023,-3.692690731985113
40.38533,-3.68853
40.4212889,-3.7031182
40.44313517647427,-3.679300984381619
40.42715,-3.70842
40.4593,-3.70429
40.474437700549295,-3.693966303117842
40.39921,-3.69471
40.46656897457927,-3.703010294232022
40.4065599,-3.7017376
40.41753,-3.7022
40.4285804,-3.6763674
40.42153,-3.70078
40.41698,-3.67137
40.42397,-3.69819
40.38791,-3.69245
40.4703,-3.64624
40.49226,-3.66243
40.41425,-3.70635
40.42118,-3.70757
40.3652,-3.76078
40.42397,-3.69942
40.42572,-3.70278
40.414504000897054,-3.7015221760610544
40.36394,-3.76105
40.43051,-3.6229
40.416569,-3.708478
40.424125857444274,-3.6979492335560615
40.39702,-3.71981
40.42079,-3.69914
40.4321,-3.65639
40.44842959614383,-3.7072267997446633
40.41408,-3.71639
40.42224,-3.69601
40.43191,-3.70971
40.42277,-3.71532
40.40899747834222,-3.7103462654273818
40.41944,-3.69671
40.40162112650197,-3.710759696414222
40.41207,-3.70534
40.4918,-3.69616
40.49076,-3.6909
40.40134,-3.75564
40.4070921924376,-3.70772646406214
40.37982,-3.70552
40.42808,-3.6675
40.40711,-3.71204
40.41000103307502,-3.7051587309704033
