neighbourhood_group_cleansed,id,listing_url,name,host_id,host_name,calculated_host_listings_count,host_is_superhost,latitude,longitude,price,kitchen,patio or balcony,elevator,air conditioning,long_term,short_term,possible_long_term,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded
Gràcia,48390731,https://www.airbnb.com/rooms/48390731,Sonder La Casa del Sol | Queen Room w/ Balcony,388714704,Sonder (Barcelona),44,f,41.40034,2.15757,277.0,0,1,1,1,0,0,1,65,4.66,0,0
Eixample,48178644,https://www.airbnb.com/rooms/48178644,4 Mercat Sant Antoni,133379972,Pere,2,t,41.37823,2.15922,197.0,1,1,1,0,0,0,1,79,4.84,0,1
Gràcia,48390775,https://www.airbnb.com/rooms/48390775,Sonder La Casa del Sol | Room w/ Balcony City View,388714704,Sonder (Barcelona),44,f,41.40048,2.15547,313.0,0,1,1,1,0,0,1,19,4.63,0,0
Eixample,48179153,https://www.airbnb.com/rooms/48179153,1- Mercat Sant Antoni,133379972,Pere,2,t,41.37956,2.15772,197.0,1,0,1,1,0,0,1,30,4.6,0,1
Eixample,48393367,https://www.airbnb.com/rooms/48393367,Family apartment Plaza España 2,144259355,Dmytro,10,f,41.377766469026014,2.153795857849829,177.0,1,1,1,1,0,0,1,2,4.0,0,1
Eixample,48396840,https://www.airbnb.com/rooms/48396840,Habitacion en el centro de Barcelona,85808864,Rodrigo E.,1,f,41.39377,2.17947,29.0,1,0,0,0,0,0,1,6,5.0,0,0
Eixample,48181684,https://www.airbnb.com/rooms/48181684,Agafay - 2 bedrooms in Sagrada Família,346367515,Ukio,406,f,41.40099,2.17574,130.0,1,0,1,1,0,0,1,1,5.0,0,1
Eixample,48181789,https://www.airbnb.com/rooms/48181789,Nevis - 2 bedrooms and balcony in Sagrada Família,346367515,Ukio,406,f,41.40098,2.17444,135.0,1,1,1,1,0,0,1,1,5.0,0,1
Gràcia,48396953,https://www.airbnb.com/rooms/48396953,Beautiful 2 bedroom Sagrada Familia.,390671331,Elena,2,f,41.40682,2.16798,194.0,1,0,0,1,0,0,1,57,4.74,0,1
Gràcia,48194781,https://www.airbnb.com/rooms/48194781,STUDIO BGG7,400416,Cens Sl,6,f,41.40134120368014,2.1514057856446502,38.0,1,0,0,0,0,0,1,2,4.0,0,0
Sants-Montjuïc,48411805,https://www.airbnb.com/rooms/48411805,Piquer,9478280,Simona & Pia,28,f,41.37204,2.16884,188.0,1,1,0,1,0,0,1,25,4.2,0,1
Les Corts,48416538,https://www.airbnb.com/rooms/48416538,Apart.   con terraza  y encanto - 2 dorm,173993443,Pilar,15,f,41.39208,2.13041,157.0,1,1,1,0,1,0,1,2,5.0,0,1
Gràcia,48213603,https://www.airbnb.com/rooms/48213603,Sonder Le Palacete | King Room,388714704,Sonder (Barcelona),44,f,41.40798,2.16075,241.0,0,0,1,1,0,0,1,60,4.73,0,0
Eixample,48220182,https://www.airbnb.com/rooms/48220182,Modern Apartment | Stay Unique Apartments Corsega,299462,Stay U-Nique,154,f,41.39872,2.16374,247.0,1,1,0,1,0,0,1,125,4.22,0,1
Ciutat Vella,48432579,https://www.airbnb.com/rooms/48432579,Aprt BCN beach  port-Garage opt-. Security priv.,12138466,Iñigo,1,f,41.38301,2.18515,85.0,1,0,1,1,1,0,1,10,5.0,0,0
Gràcia,48224342,https://www.airbnb.com/rooms/48224342,Sonder Le Palacete | King Suite,388714704,Sonder (Barcelona),44,f,41.40871,2.16037,291.0,0,0,1,1,0,0,1,47,4.57,0,0
Eixample,48433703,https://www.airbnb.com/rooms/48433703,Luxury flat in front of La Sagrada,250042982,HiGuests,45,f,41.403118,2.176476,250.0,1,1,0,0,0,0,1,2,4.0,0,1
Gràcia,48224455,https://www.airbnb.com/rooms/48224455,Sonder Le Palacete | King Room w/ Terrace,388714704,Sonder (Barcelona),44,f,41.40676,2.16053,264.0,0,1,1,1,0,0,1,65,4.82,0,0
Eixample,48446266,https://www.airbnb.com/rooms/48446266,🅳🅸🅶🅸🆃🅰🅻   🅽🅾🅼🅰🅳🆂   🅲🅾🅻🅸🆅🅸🅽🅶 ❤,88699083,Oscar,5,t,41.39606,2.15766,106.0,1,1,1,0,0,0,1,47,4.94,0,0
Eixample,48459666,https://www.airbnb.com/rooms/48459666,Sonder Vasanta | Superior King Room w/ Sofa Bed,388714704,Sonder (Barcelona),44,f,41.39118,2.17168,239.0,0,0,1,1,0,0,1,26,4.46,0,0
Gràcia,48224615,https://www.airbnb.com/rooms/48224615,Sonder Le Palacete | King Studio w/ Courtyard,388714704,Sonder (Barcelona),44,f,41.40863,2.16002,194.0,1,1,1,1,0,0,1,11,4.27,0,0
Sant Martí,48505505,https://www.airbnb.com/rooms/48505505,3 Bedrooms Apartment next to Forum with Balcony,391416308,Alfonso,3,t,41.41274,2.21747,193.0,1,1,0,1,1,0,1,10,4.8,0,1
Eixample,48544357,https://www.airbnb.com/rooms/48544357,"Apt con SPA, piscina, gym, a 2 min de Pl. Cataluña",10380563,Tendency Apartments,42,f,41.38795,2.16649,239.0,1,1,1,1,0,0,1,4,4.25,0,1
Sant Martí,48225671,https://www.airbnb.com/rooms/48225671,STYLISH LOFT/Near the Beach/FastWifi/AC/SMARTTV,12210380,Andrea & Chris,1,t,41.40265274047851,2.2070059776306152,196.0,1,0,0,0,0,0,1,136,4.93,0,0
Ciutat Vella,48578421,https://www.airbnb.com/rooms/48578421,CLASSBEDROOM GOTHIC RAMBLAS 4 APARTMENT,6099660,ClassBedroom,27,f,41.38011,2.17691,200.0,1,0,0,1,0,0,1,105,4.49,0,0
Eixample,48585016,https://www.airbnb.com/rooms/48585016,"Casa Cipriani Eixample, managed by Super-Host",7197028,Alfredo,1,t,41.39276,2.1741,244.0,1,1,1,1,0,0,1,208,4.9,0,0
Eixample,48229111,https://www.airbnb.com/rooms/48229111,Room for 2 people near the Sagrada Familia,385593314,Serhii,4,f,41.41131,2.17621,239.0,1,0,0,0,0,0,1,32,4.22,0,0
Eixample,48237481,https://www.airbnb.com/rooms/48237481,Three-Bedroom apartment near Sagrada Família! #41,116349526,Diagonal,5,f,41.40213,2.18202,356.0,1,1,1,1,0,0,1,13,4.92,0,1
Ciutat Vella,48585443,https://www.airbnb.com/rooms/48585443,Cozy Apartment with Terrace in Parallel Avenue,391416308,Alfonso,3,t,41.375244,2.168731,99.0,1,1,0,1,1,0,1,7,4.86,0,1
Eixample,48237763,https://www.airbnb.com/rooms/48237763,Three-Bedroom apartment near Sagrada Família! #21,116349526,Diagonal,5,f,41.4016,2.18093,290.0,1,1,1,1,0,0,1,35,4.57,0,1
Gràcia,48585721,https://www.airbnb.com/rooms/48585721,Pumori - 2 bedrooms in Gràcia,346367515,Ukio,406,f,41.40094,2.15387,145.0,1,0,1,1,0,0,1,0,0.0,0,1
Ciutat Vella,48585951,https://www.airbnb.com/rooms/48585951,3 Bedrooms Apartment in the Historical Centre,391416308,Alfonso,3,t,41.38169,2.18084,100.0,1,0,0,1,1,0,1,15,5.0,0,1
Gràcia,48586390,https://www.airbnb.com/rooms/48586390,Rovira - 1 bedroom in Gràcia,346367515,Ukio,406,f,41.39992,2.15922,194.0,1,1,1,1,0,0,1,1,5.0,0,0
Gràcia,48586985,https://www.airbnb.com/rooms/48586985,Amazonas - 3 bedrooms duplex in Gràcia,346367515,Ukio,406,f,41.40703,2.15089,194.0,1,1,1,1,0,0,1,0,0.0,0,1
Ciutat Vella,48242108,https://www.airbnb.com/rooms/48242108,CLASSBEDROOM BORN 1,6099660,ClassBedroom,27,f,41.38172,2.18134,197.0,1,1,1,1,0,0,1,58,4.34,0,0
Ciutat Vella,48596258,https://www.airbnb.com/rooms/48596258,New Studio Near Famous Ramblas and Boqueria Market,17768217,Luciana,2,f,41.37969,2.16642,50.0,1,1,0,0,0,0,1,18,5.0,0,0
Ciutat Vella,48242113,https://www.airbnb.com/rooms/48242113,CLASSBEDROOM BORN 5 APARTMENT,6099660,ClassBedroom,27,f,41.38379,2.18172,193.0,1,1,1,1,0,0,1,62,4.34,0,0
Sant Martí,48596511,https://www.airbnb.com/rooms/48596511,"Wohnung in Strandnähe, Gemeinschaftsdachterrasse",22110879,Renate,3,t,41.40586,2.21089,168.0,1,1,1,1,0,1,0,65,4.8,0,0
Ciutat Vella,48596879,https://www.airbnb.com/rooms/48596879,Apartamento exterior con vistas a Passeig de Colom,371760227,Eduardo,3,t,41.3803,2.18052,167.0,0,0,1,1,0,0,1,33,4.94,0,0
