id,neighbourhood_group_cleansed,name,host_id,host_name,host_is_superhost,calculated_host_listings_count,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,number_of_reviews,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
136661,Sant Martí,Beautiful house near beach long term > 31 days,668991,Andreas,f,1,41.39047,2.19698,1,0,0,0,4,4.75,2,1,250.0,Luxury,2.3920213532951324,2-3 km
343858,Gràcia,Céntrico Apartamento de 2 habitaciones en Gracia.,1744516,Silvia & Luís,f,37,41.40172,2.16322,1,0,0,1,3,4.0,2,1,219.0,Luxury,1.6543442538896966,1-2 km
138055,Eixample,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,f,19,41.40653,2.1746,1,1,1,1,125,4.52,2,1,483.0,Luxury,2.185241415621266,2-3 km
147275,Horta-Guinardó,1 Room INDIVIDUAL in Barcelona,711907,Antuan,t,1,41.42337,2.1749,1,1,1,0,131,4.25,1,0,18.0,Low-Cost,4.034046250966648,3-5 km
343861,Eixample,Apartamento 1 habitación y balcón  en Gracia,1744516,Silvia & Luís,f,37,41.39993,2.16536,1,0,0,1,37,4.46,2,0,193.0,Economic,1.4192441487119292,1-2 km
153376,Ciutat Vella,Single room. central and quite,737399,Omar,f,1,41.38615,2.17636,0,0,0,0,22,5.0,1,0,60.0,Low-Cost,0.6621349557954924,<1 km
343864,Gràcia,3 BD APT IN THE HEART OF GRACIA VIRREINA,1744516,Silvia & Luís,f,37,41.40735,2.15885,1,0,0,0,38,4.55,2,1,238.0,Luxury,2.3627164033002077,2-3 km
154437,Eixample,Charming room  Diagonal wifi 100 Mb,474355,Annais,f,1,41.39202,2.15101,1,0,1,0,95,4.86,1,0,239.0,Luxury,1.554714789462132,1-2 km
162091,Eixample,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,f,19,41.4064,2.17449,1,0,1,1,68,4.51,2,1,490.0,Luxury,2.1690762964661023,2-3 km
343866,Gràcia,COSY 3BD  APARTMENT + 2 BATH IN GRACIA VIRREINA,1744516,Silvia & Luís,f,37,41.40399,2.15565,1,0,0,0,110,4.49,2,1,236.0,Luxury,2.137724118977991,2-3 km
343972,Sants-Montjuïc,Magic Fountain B&B WI-FI DOBLE ROOM,1744964,Patricia,f,1,41.37184,2.14799,0,0,1,0,7,4.67,1,0,189.0,Economic,2.4393758582510494,2-3 km
171646,Sant Martí,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,f,9,41.40671,2.18592,1,1,0,1,108,4.83,2,1,160.0,Economic,2.587956450192431,2-3 km
345129,Ciutat Vella,Charming apartment by  Barcelona sailing harbour,1238225,Lucia,f,1,41.38512,2.17129,1,1,1,0,32,4.58,1,0,70.0,Low-Cost,0.33858140230026795,<1 km
171816,Sant Martí,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,f,9,41.40681,2.18553,1,1,0,1,58,4.74,2,1,160.0,Economic,2.579235115815376,2-3 km
174382,Eixample,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,f,19,41.40653,2.17455,1,0,1,1,29,4.38,2,1,433.0,Luxury,2.184290012254768,2-3 km
188267,Eixample,LAST Minute Promotion ;Balconies  and views; city,366654,Watermelon Barcelona Apartments,f,3,41.39258,2.17692,1,1,0,1,120,4.69,2,1,411.0,Luxury,0.9019377653310937,<1 km
346018,Sant Martí,Room in a flat with Barcelona best view!,1753990,Filippo,f,1,41.3922,2.18805,1,0,1,0,17,4.76,1,0,200.0,Economic,1.708082205766671,1-2 km
190348,Les Corts,Apartment with large terrace,919480,Elisa,f,1,41.38893,2.12443,1,0,1,1,1,5.0,1,0,157.0,Economic,3.6887515551435217,3-5 km
196021,Eixample,Large patio; 4 baths (3 en-suite); 19th c; central,953719,Julia,t,2,41.38842,2.16108,1,1,1,1,417,4.95,2,1,671.0,Luxury,0.6375190283882878,<1 km
196196,Eixample,✨Large Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,f,19,41.4066,2.17459,1,1,1,1,147,4.48,2,1,483.0,Luxury,2.1926286142320155,2-3 km
347824,Ciutat Vella,bmes Ideal Happy Location Beach Area; Old Town,1447144,Acomodis Apartments,f,207,41.3764,2.19102,1,1,0,1,3,4.0,2,0,167.0,Economic,2.2349502691201715,2-3 km
351395,Eixample,Garden House - 3BR Apt with amazing Terrrace,1435464,Jaume,f,13,41.39271,2.17974,1,1,1,0,89,4.56,2,1,239.0,Luxury,1.1010216628288505,1-2 km
198958,Sant Martí,STUNNING sea view + pool Barcelona!,971768,Akira Flats,t,10,41.40805,2.21487,1,1,1,1,116,4.7,2,1,431.0,Luxury,4.490853199518652,3-5 km
352772,Eixample,Charming penthouse; city center; private car park.,1786501,Fidel,f,1,41.38184,2.15119,1,1,1,1,233,4.76,2,1,133.0,Economic,1.578588626938055,1-2 km
206122,Gràcia,Amazing Loft in BCN Center,1013855,Alejandro,f,2,41.39877,2.15887,1,1,0,0,264,4.73,2,1,198.0,Economic,1.5023974262631996,1-2 km
206167,Sants-Montjuïc,Bright; comfy; central and with character,1014050,Minerva,t,1,41.3724,2.1648,1,1,0,1,151,4.89,2,0,155.0,Economic,1.6977900754560946,1-2 km
209673,Gràcia,Sweet Apartment in Gràcia district!,1033366,Elena,t,1,41.398,2.1553,1,0,1,0,356,4.79,2,1,105.0,Economic,1.6186882533940183,1-2 km
353640,Ciutat Vella,Great Apartment in Heart of Born,1791076,Marta,f,1,41.38422,2.18412,1,1,1,1,192,4.57,2,1,176.0,Economic,1.3421983732850244,1-2 km
