part-00000-d38f1508-e7ff-486d-972c-feeebe182c7b-c000
neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded;;
Chamberí;9708971;https://www.airbnb.com/rooms/9708971;Andres Mellado 23;50128107;Julio;1;f;40.4318;-3.71278;128.0;1;0;0;1;0;0;1;0;0.0;2;0;;
Puente de Vallecas;10151490;https://www.airbnb.com/rooms/10151490;Piso;52100521;Paula;1;f;40.39553;-3.66905;112.0;1;0;1;0;0;0;1;0;0.0;2;1;;
Usera;20690853;https://www.airbnb.com/rooms/20690853;ALQUILO PISO EN GLORIETA DE CADIZ;148079143;Mari Loli;1;f;40.38583;-3.716;74.0;0;0;1;1;1;0;1;0;0.0;2;1;;
Carabanchel;26987062;https://www.airbnb.com/rooms/26987062;Habitación cama matrimonio cerca del centro.;186568089;Emi;1;f;40.39739;-3.71711;82.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;27668673;https://www.airbnb.com/rooms/27668673;Apartamento en el centro de Madrid;83027715;Celia;1;f;40.41099;-3.69947;157.0;1;0;0;1;0;0;1;1;5.0;2;0;;
Centro;16008676;https://www.airbnb.com/rooms/16008676;habiatcion studio anton madrid con chicos gays;104082974;Alberto;1;f;40.40923;-3.7073;157.0;0;0;0;0;0;1;0;0;0.0;0;0;;
San Blas - Canillejas;34856051;https://www.airbnb.com/rooms/34856051;Habitación para Final de Champions League;262774081;Carlos;1;f;40.4465;-3.6165;126.0;0;0;0;0;0;1;0;0;0.0;1;0;;
Moncloa - Aravaca;34863094;https://www.airbnb.com/rooms/34863094;Final champions;262828307;Beatriz;1;f;40.44828;-3.71258;121.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Hortaleza;34941329;https://www.airbnb.com/rooms/34941329;Wanda/Aeropuerto/ifema Hortaleza;263286265;Mochu Alvaro;1;f;40.46094;-3.64662;143.0;1;0;0;0;0;0;1;0;0.0;1;1;;
San Blas - Canillejas;35056976;https://www.airbnb.com/rooms/35056976;Bedroom near to stadium Wanda Metropolitana;257975060;Javier;1;f;40.44764;-3.60751;126.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Salamanca;35111546;https://www.airbnb.com/rooms/35111546;Piso para final de Champions.;71990481;Nathy;1;f;40.4335;-3.66866;177.0;0;0;0;1;0;0;1;0;0.0;2;0;;
Chamberí;35381267;https://www.airbnb.com/rooms/35381267;Homey bedroom close to Nuevos Ministerios;266351751;Lina;1;f;40.43869;-3.69663;128.0;0;0;1;0;0;0;1;0;0.0;1;0;;
Centro;49245150;https://www.airbnb.com/rooms/49245150;Preciosa habitación en el centro de Madrid;125810314;Cesar Andres;1;f;40.41523;-3.69862;157.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Villaverde;52099458;https://www.airbnb.com/rooms/52099458;totalmente exterior mucha luz;421822178;Jose;1;f;40.34987;-3.68931;72.0;1;0;0;1;0;0;1;0;0.0;2;1;;
Villa de Vallecas;53583283;https://www.airbnb.com/rooms/53583283;Preciosa habitación privada;171473678;Nathalie;1;f;40.38173;-3.62161;73.0;0;0;0;0;0;0;1;1;5.0;1;0;;
Villaverde;686006215062759462;https://www.airbnb.com/rooms/686006215062759462;Estamos cerca del metro y renfe (10min del centro);51686071;Hegler;1;f;40.344593211644174;-3.713205914698856;72.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Puente de Vallecas;717235292280223074;https://www.airbnb.com/rooms/717235292280223074;Piso para Familia en Madrid;435710389;Hildemaro;9;f;40.38744;-3.67012;112.0;1;0;0;0;0;1;0;5;5.0;2;1;;
Centro;862830008444523239;https://www.airbnb.com/rooms/862830008444523239;Golden Isabel II;399166867;Cayetano;6;f;40.41264944397596;-3.7041772528350863;157.0;1;0;0;0;0;0;1;1;5.0;2;0;;
Salamanca;922182697336802259;https://www.airbnb.com/rooms/922182697336802259;HA Apartahotel Quo Eraso - Habitación Triple;520123216;HA Apartahotel;18;f;40.43441;-3.67294;177.0;0;0;1;1;0;0;1;0;0.0;1;0;;
Centro;1051968648332690664;https://www.airbnb.com/rooms/1051968648332690664;Principe Pio - Plaza de España;508707195;Slay;3;f;40.41937962173029;-3.718665167368314;200.0;1;0;0;1;0;0;1;0;0.0;2;0;;
Carabanchel;1008521039996399925;https://www.airbnb.com/rooms/1008521039996399925;Alojamiento tranquilo;509530871;Sandra;1;f;40.38799;-3.7247;30.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Tetuán;1127986433777227140;https://www.airbnb.com/rooms/1127986433777227140;Sencilla habitación Madrid norte;567021180;Fernando;1;f;40.46432;-3.70158;32.0;0;0;0;0;0;0;1;6;4.83;1;0;;
Arganzuela;1177361655986318812;https://www.airbnb.com/rooms/1177361655986318812;Luminosa habitación confortable;448890645;Salomé;46;f;40.40433;-3.69217;31.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;1130692646182393417;https://www.airbnb.com/rooms/1130692646182393417;Habitación en Chueca en el Pride;147672364;Diego;1;f;40.4219715;-3.6979255;132.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Centro;397778;https://www.airbnb.com/rooms/397778;PUERTA DEL SOL VI - MADRID CENTRE;1408525;Mad4Rent;34;f;40.41506;-3.7029;118.0;1;1;1;1;0;0;1;88;4.52;2;0;;
Centro;1049965500377384956;https://www.airbnb.com/rooms/1049965500377384956;Hermosa habitación chueca;551685539;Edison;2;f;40.42373;-3.69893;92.0;0;0;0;1;0;0;1;0;0.0;1;0;;
Centro;1018578315742790248;https://www.airbnb.com/rooms/1018578315742790248;In the heart of old town Madrid;907548;Dario And Audrey;1;f;40.40712;-3.70341;64.0;1;0;0;1;0;0;1;1;5.0;2;1;;
Chamberí;644532334152825002;https://www.airbnb.com/rooms/644532334152825002;Precioso piso con terraza;463164733;Deise;1;f;40.43169;-3.69791;1200.0;0;0;0;0;0;0;1;0;0.0;2;1;;
Centro;625157983399069677;https://www.airbnb.com/rooms/625157983399069677;VILLANUEVA - FUENCARRAL;325540127;Madrent;52;f;40.42408;-3.69882;159.0;1;0;0;1;0;0;1;4;4.75;2;0;;
Chamberí;22061092;https://www.airbnb.com/rooms/22061092;Cama en habitación compartida Bed in sharing room;69989651;Glaucia;1;f;40.43301;-3.71113;128.0;1;0;1;0;0;0;1;0;0.0;0;0;;
Tetuán;22072825;https://www.airbnb.com/rooms/22072825;Dream apartment;144562473;Lisa;1;f;40.467;-3.70441;146.0;1;0;0;1;0;0;1;6;4.17;2;0;;
Centro;1157985294648870061;https://www.airbnb.com/rooms/1157985294648870061;Habitación en piso céntrico;443195510;María Eugenia;1;f;40.41825;-3.7067;48.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Centro;35702581;https://www.airbnb.com/rooms/35702581;Habitación en zona centro con maravillosa terraza.;21537464;Nieves;1;f;40.41145;-3.70824;157.0;1;0;1;1;0;0;1;3;5.0;1;0;;
Arganzuela;22142689;https://www.airbnb.com/rooms/22142689;Piso en zona centro, Madrid;161714326;Paloma;1;f;40.40345;-3.68919;141.0;1;0;1;1;0;1;0;0;0.0;2;1;;
Centro;35872066;https://www.airbnb.com/rooms/35872066;¡Acogedor Estudio en el Centro de Madrid!;57763104;Alba;1;f;40.42833;-3.70418;157.0;1;0;1;1;0;0;1;0;0.0;2;0;;
Centro;1020842689232705519;https://www.airbnb.com/rooms/1020842689232705519;Habitacion en Madrid Centro;545707068;Daniel;1;f;40.41091517225615;-3.7078602612018585;20.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Salamanca;38311561;https://www.airbnb.com/rooms/38311561;Habitacion individual con cuarto de baño privado;187873665;Catalina;1;f;40.43431;-3.68608;177.0;0;0;1;1;0;0;1;8;4.5;1;0;;
Arganzuela;38338111;https://www.airbnb.com/rooms/38338111;Habitación en piso compartido en Delicias;211451570;Sandra;1;f;40.40404;-3.69289;141.0;1;0;0;0;0;0;1;5;4.0;1;0;;
Centro;40750605;https://www.airbnb.com/rooms/40750605;PRECIOSAS HABITACIONES EN MALASAÑA;204739682;Ruth;2;f;40.42833;-3.70596;157.0;1;0;1;1;0;0;1;0;0.0;1;0;;
Arganzuela;36206710;https://www.airbnb.com/rooms/36206710;habitación amplia y con muy buena ubicación;272308625;Manuel Christian;1;f;40.40044;-3.69247;141.0;1;0;1;0;0;0;1;0;0.0;0;0;;
Centro;1094069111765430527;https://www.airbnb.com/rooms/1094069111765430527;Gran apartamento Madrid centro;330597230;Luis Fernando;1;f;40.4159033;-3.7078535;174.0;1;0;0;1;0;0;1;6;4.17;2;1;;
San Blas - Canillejas;36305725;https://www.airbnb.com/rooms/36305725;Lo mejor de Canillejas;273037515;Andrea;1;f;40.44752;-3.61102;126.0;1;0;1;0;0;0;1;3;5.0;1;0;;
Centro;1067182273436263585;https://www.airbnb.com/rooms/1067182273436263585;Harli4 plaza mayor luxury centro;327353271;Julieta Y Julián;28;f;40.4099721580656;-3.703735484123959;158.0;1;0;0;1;0;0;1;1;5.0;2;0;;
Tetuán;40480584;https://www.airbnb.com/rooms/40480584;apartamento junto a estadio santiago bernabeu;96811784;Edu;1;f;40.457;-3.6925;146.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;1153476206812182524;https://www.airbnb.com/rooms/1153476206812182524;Duque de Rivas-2-1;576464572;Maria Mercedes;166;f;40.41400873507359;-3.705259883992854;20.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Retiro;38666506;https://www.airbnb.com/rooms/38666506;Piso cerca a parque Retiro;295414385;Haydee;1;f;40.41932;-3.67804;122.0;1;0;1;1;0;1;0;0;0.0;2;0;;
Centro;34808364;https://www.airbnb.com/rooms/34808364;Final Champions  Pizarro;119441746;Pablo;1;f;40.42342;-3.7056;900.0;1;0;0;1;0;1;0;0;0.0;2;0;;
Arganzuela;18836909;https://www.airbnb.com/rooms/18836909;Madrid by the river room1;10569937;Ele;7;f;40.40236;-3.70995;141.0;1;0;1;0;0;1;0;0;0.0;1;0;;
Salamanca;18942744;https://www.airbnb.com/rooms/18942744;Habitación;132052020;Sofia;1;f;40.43381;-3.67598;177.0;1;0;1;0;1;0;1;0;0.0;1;0;;
Usera;38966176;https://www.airbnb.com/rooms/38966176;Piso en Usera;298379579;Patricia;1;f;40.38679;-3.71237;74.0;1;0;0;0;0;0;1;0;0.0;2;1;;
Centro;38876624;https://www.airbnb.com/rooms/38876624;Apartment with large terrace in Madrid;186970404;Edouard TJ;1;f;40.40949;-3.70759;157.0;0;0;0;1;0;0;1;0;0.0;2;1;;
Carabanchel;36466477;https://www.airbnb.com/rooms/36466477;Habitacion ensuite;273610980;Chela;3;f;40.365;-3.7588;82.0;0;0;1;0;0;1;0;1;5.0;1;0;;
Centro;19268594;https://www.airbnb.com/rooms/19268594;World Pride Madrid 2017. Flat in city centre;134921669;Ludi;1;f;40.41509;-3.69701;157.0;1;0;1;1;0;1;0;0;0.0;2;0;;
Puente de Vallecas;37174995;https://www.airbnb.com/rooms/37174995;Private Room in Madrid;111317506;Mauro;1;f;40.38067;-3.6496;112.0;1;0;1;0;0;0;1;4;4.25;1;0;;
Centro;1167918447291410558;https://www.airbnb.com/rooms/1167918447291410558;Alojamiento moderno con ubicación céntrica;567327895;Santiago;87;f;40.423637402755475;-3.70406725932518;50.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Carabanchel;37285661;https://www.airbnb.com/rooms/37285661;cosy bedroom wifi & terrace in Madrid Río area;280698076;Iris;1;f;40.39299;-3.71078;82.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;19293622;https://www.airbnb.com/rooms/19293622;Apartamento pleno Centro de Madrid, muy tranquilo;127316961;Hitch;1;f;40.40929;-3.70107;157.0;1;0;0;0;0;1;0;0;0.0;2;0;;
Centro;19307692;https://www.airbnb.com/rooms/19307692;Exterior room  PLAZA MAYOR  private bathroom;112271726;Mario;74;t;40.41315;-3.70639;157.0;1;0;1;0;0;0;1;4;5.0;1;0;;
Latina;39995735;https://www.airbnb.com/rooms/39995735;Piso Madrid - Río - Muy cerca del centro;308404153;Jessica;1;f;40.40993;-3.72286;70.0;1;0;1;0;0;1;0;1;5.0;2;1;;
Centro;1056482054894389471;https://www.airbnb.com/rooms/1056482054894389471;Lujoso apto calle mayor;553116764;Jesús;2;f;40.41662;-3.7104;130.0;1;0;0;1;0;0;1;0;0.0;2;0;;
Usera;40368944;https://www.airbnb.com/rooms/40368944;HABITACIÓN PRIVADA 15 MIN CENTRO Y TRANQUILA;292251816;Nadia;1;f;40.37273;-3.71509;74.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Hortaleza;40425978;https://www.airbnb.com/rooms/40425978;Acogedor apartamento para sentirse como en casa.;312592899;Tania;1;f;40.47287;-3.6525;143.0;1;0;0;0;0;0;1;1;4.0;2;1;;
Salamanca;3613370;https://www.airbnb.com/rooms/3613370;Excelente y luminoso estudio;18206447;Salva;2;f;40.4241;-3.68986;177.0;1;0;0;1;0;1;0;0;0.0;2;0;;
Centro;42240818;https://www.airbnb.com/rooms/42240818;Habitación piso mágico en Malasaña;31021549;Samu;1;f;40.42725;-3.70603;157.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Fuencarral - El Pardo;22624722;https://www.airbnb.com/rooms/22624722;Cosy studio 30 min from center;67365849;Sandra;2;f;40.48032;-3.71766;95.0;0;0;0;0;0;0;1;0;0.0;1;0;;
Centro;19565351;https://www.airbnb.com/rooms/19565351;Cozy apartment in Conde Duque / Malasaña area;52804033;Guillaume;1;f;40.42888;-3.70942;157.0;1;0;0;0;0;1;0;0;0.0;2;1;;
Villaverde;41665580;https://www.airbnb.com/rooms/41665580;Habitación espaciosa en Madrid;250366118;Carlos;1;f;40.34242;-3.71185;72.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Tetuán;19540030;https://www.airbnb.com/rooms/19540030;Madrid. Rent a flat first weekend of July.;137252326;Albano;1;f;40.45594;-3.69787;146.0;1;0;1;0;0;1;0;0;0.0;2;1;;
Centro;7322409;https://www.airbnb.com/rooms/7322409;Piso Plaza de España;38358846;Juan Pablo;1;f;40.42675;-3.71063;157.0;1;0;1;1;0;1;0;0;0.0;2;0;;
Chamartín;44492973;https://www.airbnb.com/rooms/44492973;Habitación de lujo Plaza Castilla;265424861;Yoselyn;2;f;40.46683;-3.68868;129.0;1;0;1;1;1;0;1;0;0.0;1;0;;
Arganzuela;12600216;https://www.airbnb.com/rooms/12600216;Alquilo habitación en ÁTICO CENTRO;68370999;Julieta;1;f;40.40197;-3.69144;141.0;1;0;1;1;0;0;1;2;5.0;1;0;;
Chamberí;20733548;https://www.airbnb.com/rooms/20733548;Habitación amplia y luminosa;147605023;Stellasos;1;f;40.44561;-3.70249;128.0;1;0;1;0;0;0;1;1;4.0;1;0;;
Villaverde;20329066;https://www.airbnb.com/rooms/20329066;comoda y acogedora habitacion con  buena ubicacion;83597722;Zoraya;1;f;40.35592;-3.69183;72.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Arganzuela;11560547;https://www.airbnb.com/rooms/11560547;Fantástico piso próximo al centro;46520875;Lorenzo;4;f;40.3962;-3.69586;141.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;11652585;https://www.airbnb.com/rooms/11652585;Apartamento Palacio Real Madrid;61814956;Antonio;1;f;40.41784;-3.71139;157.0;1;0;1;1;0;0;1;9;4.67;2;0;;
Centro;1158399534443777084;https://www.airbnb.com/rooms/1158399534443777084;Habitación en Gran Vía;577485093;Carlos Eduardo;1;f;40.42097137683257;-3.703593673044428;75.0;1;0;0;0;0;0;1;6;4.67;1;0;;
Villaverde;27718645;https://www.airbnb.com/rooms/27718645;Ático En Madrid;24432499;Nico;1;f;40.35556;-3.68095;72.0;1;0;1;0;0;1;0;0;0.0;2;0;;
Puente de Vallecas;27928425;https://www.airbnb.com/rooms/27928425;Apartment In Vallecas;210966166;Jonatan;1;f;40.38141;-3.65699;112.0;1;0;0;1;0;0;1;2;5.0;2;0;;
Centro;28407635;https://www.airbnb.com/rooms/28407635;Apartamento en pleno corazón de Malasaña;22299961;Diego;1;f;40.42572;-3.70327;157.0;1;0;1;1;0;0;1;6;4.67;2;0;;
Centro;27201391;https://www.airbnb.com/rooms/27201391;Habitación privada en piso compartido;86047339;Hanna;1;f;40.42787;-3.70574;157.0;1;0;0;0;0;0;1;0;0.0;1;0;;
San Blas - Canillejas;26583953;https://www.airbnb.com/rooms/26583953;Apartamento turístico en Madrid;157968631;Eva;1;f;40.44349;-3.58368;126.0;1;0;1;1;0;0;1;0;0.0;2;0;;
Moncloa - Aravaca;13484101;https://www.airbnb.com/rooms/13484101;Three bedroom apartment near Gran Vía;12455551;Nerea;1;f;40.43004;-3.71699;121.0;1;0;1;1;0;1;0;0;0.0;1;1;;
Centro;1173776079993773918;https://www.airbnb.com/rooms/1173776079993773918;La Plaza Mayor de Madrid;579147961;Holplace;8;f;40.415720987;-3.709799647;85.0;0;0;0;0;0;0;1;0;0.0;2;1;;
Centro;3778195;https://www.airbnb.com/rooms/3778195;The Hat Madrid - Shared 8 Deluxe;10940437;Alfonso;10;f;40.41527;-3.70613;500.0;0;0;1;1;0;0;1;33;4.85;0;0;;
Centro;13568498;https://www.airbnb.com/rooms/13568498;Habitación y terraza con encanto;50276797;Tania;1;f;40.41082;-3.70526;157.0;1;0;1;0;0;0;1;0;0.0;1;0;;
Centro;930646346998694449;https://www.airbnb.com/rooms/930646346998694449;Piso a 1 min de GRAN VIA;518713670;Bemadrid;231;f;40.4214;-3.69964;64.0;1;0;0;0;0;0;1;1;4.0;2;0;;
Chamartín;34563225;https://www.airbnb.com/rooms/34563225;Habitación doble en Chamartin;253296649;Jaime;1;f;40.47245;-3.67821;129.0;1;0;1;1;0;1;0;0;0.0;1;1;;
Salamanca;13814652;https://www.airbnb.com/rooms/13814652;Comfortable room with terrace in Barrio Salamanca;2217863;Fabio;1;f;40.43635;-3.68123;177.0;1;0;1;0;0;1;0;5;4.6;1;0;;
Tetuán;33479343;https://www.airbnb.com/rooms/33479343;Azul añil ( Sólo chicas );10409026;A;2;f;40.4477;-3.70329;146.0;1;0;1;1;0;0;1;4;4.75;1;0;;
Arganzuela;33486396;https://www.airbnb.com/rooms/33486396;Habitación luminosa tranquila.;252325529;Alejandro;1;f;40.39467;-3.69358;141.0;1;0;1;0;0;1;0;1;5.0;1;0;;
Moncloa - Aravaca;33658165;https://www.airbnb.com/rooms/33658165;Chamber in a sunny apartment near plaza de España;56734014;David;1;f;40.42437;-3.71206;121.0;1;0;0;0;0;1;0;2;4.0;1;0;;
San Blas - Canillejas;34590867;https://www.airbnb.com/rooms/34590867;Bed&Breakfast: Wanda, IFEMA, Airport;259265602;Sara;1;f;40.43598;-3.60904;126.0;0;0;1;0;0;1;0;0;0.0;1;0;;
Centro;960617065347201348;https://www.airbnb.com/rooms/960617065347201348;Opera Suites - 11;50887257;Houxury;52;f;40.41888;-3.7078;35.0;1;0;0;1;0;0;1;0;0.0;1;0;;
Carabanchel;32096721;https://www.airbnb.com/rooms/32096721;Habitación carabanchel;186088359;Karolina;1;f;40.369;-3.75432;82.0;0;0;0;1;0;1;0;14;4.36;1;0;;
Carabanchel;33683495;https://www.airbnb.com/rooms/33683495;Habitación silenciosa;253873738;Cecibel Maria;1;f;40.38937;-3.74211;82.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;14037440;https://www.airbnb.com/rooms/14037440;Modern flat, freshly renovated, heart of Lavapiez;25002262;Victor;1;f;40.409;-3.69796;157.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Tetuán;32694251;https://www.airbnb.com/rooms/32694251;Estrecho;212245759;Alma;1;f;40.45676;-3.7049;146.0;1;0;0;0;0;0;1;0;0.0;1;0;;
Centro;924019876132342065;https://www.airbnb.com/rooms/924019876132342065;Habitación con baño CentroMadrid;438984240;Doris;10;f;40.4099;-3.6968;65.0;0;0;0;1;0;0;1;13;4.23;1;0;;
Centro;1106849185849285959;https://www.airbnb.com/rooms/1106849185849285959;Habitación en gran vía malasaña;3048290;Antonio;10;f;40.42303596861137;-3.706398852461156;64.0;0;0;0;0;0;0;1;0;0.0;1;0;;
Centro;26563934;https://www.airbnb.com/rooms/26563934;Habitación para 2 con cama de matrimonio y sofá;199036370;H.Benavent E Hijos;25;f;40.42151;-3.71107;157.0;1;0;0;0;0;0;1;2;5.0;1;0;;
Centro;1082494008454376358;https://www.airbnb.com/rooms/1082494008454376358;CH Chelo - Doble 2 camas;445871488;Maria Antonieta;10;f;40.42169;-3.69945;158.0;0;0;0;1;0;0;1;1;4.0;1;0;;
Puente de Vallecas;35033111;https://www.airbnb.com/rooms/35033111;The best option for the Champions League final cup;27839309;Inma;2;f;40.38789;-3.64395;112.0;0;0;0;1;0;0;1;0;0.0;1;0;;
Centro;35046982;https://www.airbnb.com/rooms/35046982;Habitación pequeña,c/futon muy iluminada;264013114;Ivan;1;f;40.40828;-3.70557;157.0;1;0;0;1;0;1;0;26;4.81;1;0;;
Retiro;35051067;https://www.airbnb.com/rooms/35051067;Spacious room with living room on the side;264034599;Pilar;2;f;40.42069;-3.67581;122.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Latina;35249048;https://www.airbnb.com/rooms/35249048;Night pre Final Champions League;265375827;Manuel;1;f;40.39675;-3.77188;70.0;0;0;0;0;0;1;0;0;0.0;1;0;;
Tetuán;21924102;https://www.airbnb.com/rooms/21924102;Habitación en el norte de la capital.;134870191;Pablo;1;f;40.46036;-3.7054;146.0;1;0;0;0;0;1;0;9;4.78;1;0;;
Villaverde;35283234;https://www.airbnb.com/rooms/35283234;Habitacion con cama doble;265244405;Sara;2;f;40.34318;-3.68543;72.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Hortaleza;53627882;https://www.airbnb.com/rooms/53627882;Agradable adosado con patio y jardín;5845197;Jesus;1;f;40.4759;-3.62837;143.0;1;0;0;1;0;1;0;0;0.0;2;1;;
Latina;53730767;https://www.airbnb.com/rooms/53730767;Viajeros por el mundo;435174282;Wilson Alexis;1;f;40.39537;-3.76935;70.0;0;0;0;1;0;0;1;37;4.57;1;0;;
Villaverde;21941422;https://www.airbnb.com/rooms/21941422;Low cost Acogedor.;21537791;Sarita;2;f;40.34142;-3.68539;72.0;1;0;0;0;0;0;1;9;4.67;1;0;;
Salamanca;35058668;https://www.airbnb.com/rooms/35058668;Moderno apartamento barrio Salamanca-Madrid;148450840;Ana;2;f;40.43115;-3.67851;177.0;1;0;1;1;0;1;0;0;0.0;1;1;;
San Blas - Canillejas;35059462;https://www.airbnb.com/rooms/35059462;Muy cerca al WANDA;263943708;Celia;1;f;40.43848;-3.61177;126.0;0;0;1;0;0;1;0;0;0.0;1;0;;
Fuencarral - El Pardo;34668577;https://www.airbnb.com/rooms/34668577;ATICO CON GRAN TERRAZA;30856116;Ignacio;1;f;40.47222;-3.71791;95.0;1;0;1;1;0;1;0;0;0.0;2;1;;
Chamberí;633364375098872986;https://www.airbnb.com/rooms/633364375098872986;Preciosa habitación privada en Chamberí;118570537;Javier;1;f;40.43012;-3.71064;128.0;1;0;0;1;0;1;0;0;0.0;1;0;;
Chamberí;21941840;https://www.airbnb.com/rooms/21941840;Habitación Individual;160148671;Maria Isabel;1;t;40.4358025697224;-3.714382722973823;128.0;1;0;1;0;0;1;1;341;4.64;1;0;;
Salamanca;34698006;https://www.airbnb.com/rooms/34698006;Piso en una de las mejores zona de Madrid;261711672;Claudio Coello 115;1;f;40.43572;-3.68043;177.0;1;0;1;1;0;0;1;0;0.0;2;1;;
Puente de Vallecas;46038068;https://www.airbnb.com/rooms/46038068;Habitación tranquila y luminosa a 6 min. del metro;29615670;Sandra;1;f;40.39797;-3.65828;112.0;1;0;0;0;0;1;0;0;0.0;1;0;;
Moncloa - Aravaca;35085086;https://www.airbnb.com/rooms/35085086;Champions Final - Private Room in Madrid Center;52214976;Myriam;1;f;40.4303;-3.71758;121.0;1;0;1;0;0;1;0;0;0.0;1;0;;
