neighbourhood_group_cleansed,host_is_superhost,latitude,longitude,kitchen,patio or balcony,elevator,air conditioning,review_scores_rating,room_type_encoded,bedrooms_encoded,price,price_category,distance_from_city_center,distance_category
Centro,f,40.41155,-3.70832,1,0,0,0,4.61,1,0,157.0,Luxury,0.7137686465019449,<1 km
Salamanca,f,40.43806,-3.67094,1,0,0,0,0.0,1,0,177.0,Luxury,3.6258360848465334,3-5 km
Tetuán,f,40.46201,-3.69029,1,0,0,0,0.0,1,0,146.0,Luxury,5.15470181279207,5-10 km
Ciudad Lineal,f,40.45296673400762,-3.659898340702056,1,0,0,1,0.0,1,0,99.0,Economic,5.454721204224782,5-10 km
Moratalaz,f,40.41114,-3.64456,0,0,0,0,5.0,1,0,72.0,Low-Cost,5.01498389516164,5-10 km
Latina,f,40.39587,-3.77312,1,0,0,0,0.0,1,0,70.0,Low-Cost,6.347394535182309,5-10 km
Centro,f,40.42108,-3.70179,0,0,0,1,3.5,1,0,157.0,Luxury,0.50126507062069,<1 km
Hortaleza,f,40.47808,-3.64891,1,0,1,0,5.0,1,0,143.0,Luxury,8.23113492500857,5-10 km
Centro,f,40.40809,-3.69939,1,0,0,0,0.0,1,0,157.0,Luxury,1.0171323287627518,1-2 km
Latina,f,40.40597,-3.73396,1,0,0,1,5.0,1,0,70.0,Low-Cost,2.855245582908567,2-3 km
Centro,f,40.42388,-3.6974,1,0,1,1,0.0,2,1,157.0,Luxury,0.9407640457529997,<1 km
Centro,f,40.42399,-3.70635,1,0,0,1,5.0,1,0,157.0,Luxury,0.8466655993588608,<1 km
Latina,f,40.37712,-3.77795,1,0,0,0,0.0,1,0,70.0,Low-Cost,7.70186930533679,5-10 km
Centro,f,40.41982594031102,-3.702476720695694,1,0,0,0,0.0,1,0,157.0,Luxury,0.35201591431369716,<1 km
Moratalaz,f,40.40811,-3.64833,0,0,0,0,4.86,1,0,72.0,Low-Cost,4.754846505624176,3-5 km
Chamberí,f,40.43116,-3.69667,1,0,0,0,0.0,2,0,128.0,Economic,1.7010592277714702,1-2 km
Centro,f,40.41583,-3.70769,1,0,0,1,0.0,2,1,157.0,Luxury,0.38167345486792587,<1 km
Ciudad Lineal,f,40.43973,-3.65633,0,0,1,0,0.0,1,0,99.0,Economic,4.730100043864862,3-5 km
Moratalaz,f,40.40182695576393,-3.649489671173308,1,0,0,0,0.0,1,0,20.0,Low-Cost,4.851069257322927,3-5 km
Tetuán,f,40.45091,-3.70253,1,0,1,0,4.67,1,0,146.0,Luxury,3.801370494659165,3-5 km
Centro,f,40.42432,-3.70986,0,0,1,1,0.0,2,0,157.0,Luxury,1.0085650341416725,1-2 km
San Blas - Canillejas,f,40.4184,-3.61572,1,0,1,0,0.0,1,1,126.0,Economic,7.419896902759492,5-10 km
Retiro,f,40.42075,-3.67603,1,0,1,0,0.0,1,0,122.0,Economic,2.354699528735655,2-3 km
San Blas - Canillejas,f,40.42759,-3.6039,1,0,0,1,0.0,1,0,126.0,Economic,8.503834721583953,5-10 km
Salamanca,f,40.43028,-3.67795,1,0,1,0,5.0,2,1,177.0,Luxury,2.6247632851907854,2-3 km
Chamberí,f,40.43024,-3.71143,1,0,0,1,0.0,2,0,128.0,Economic,1.6511080956953013,1-2 km
Centro,f,40.42907,-3.70406,1,0,0,0,0.0,2,1,157.0,Luxury,1.3736131792949124,1-2 km
Villaverde,f,40.3420867,-3.6849834,1,0,0,0,4.55,1,0,18.0,Low-Cost,8.444221097488725,5-10 km
Retiro,f,40.40551,-3.68049,0,0,0,0,0.0,1,0,245.0,Luxury,2.301867836945386,2-3 km
