neighbourhood_group_cleansed;id;listing_url;name;host_id;host_name;calculated_host_listings_count;host_is_superhost;latitude;longitude;price;kitchen;patio or balcony;elevator;air conditioning;long_term;short_term;possible_long_term;number_of_reviews;review_scores_rating;room_type_encoded;bedrooms_encoded
Moncloa - Aravaca;34668091;https://www.airbnb.com/rooms/34668091;Magnifica casa en Madrid +piscina y pista de tenis;17443068;Eduardo;1;f;40.47021;-3.77022;200.0;1;0;1;1;0;0;1;2;5.0;2;1
Villaverde;39222588;https://www.airbnb.com/rooms/39222588;Jolie chambre pour un bon sejour;192023080;Patrick Raoul;2;f;40.3501;-3.6881;39.0;1;0;0;1;0;1;0;1;5.0;1;0
Villaverde;976240787496236507;https://www.airbnb.com/rooms/976240787496236507;Hospedaje tranquilo;531442508;Manuel;1;f;40.3525041;-3.6962945;35.0;1;0;0;0;0;0;1;0;0.0;1;0
Hortaleza;984539754772107631;https://www.airbnb.com/rooms/984539754772107631;Luxury apartment in Valdebebas for monthly rent;51934671;Rosario;1;f;40.494953868185405;-3.621648989892576;98.0;1;1;1;1;0;0;1;0;0.0;2;1
Hortaleza;32153574;https://www.airbnb.com/rooms/32153574;3 bedrooms and 2 bathrooms in Zona Norte-dobohomes;133056146;Dobohomes;54;f;40.48905;-3.6638;173.0;1;0;1;1;0;0;1;75;4.55;2;1
Barajas;856192401820754236;https://www.airbnb.com/rooms/856192401820754236;Bonita habitación en Barajas;11769281;Giuliana & Mario;25;t;40.472513940427625;-3.5858522362070215;50.0;1;0;0;0;0;0;1;0;0.0;1;0
Ciudad Lineal;1172328671907975432;https://www.airbnb.com/rooms/1172328671907975432;"Habitacion confortable;tranquila";413942202;Maria Teresa;2;f;40.43209;-3.65141;35.0;1;0;0;1;0;0;1;0;0.0;1;1
San Blas - Canillejas;1167309019783851015;https://www.airbnb.com/rooms/1167309019783851015;Habitación privada en chalet;367444024;Lidia;4;t;40.44344;-3.61423;50.0;0;0;0;1;0;0;1;1;5.0;1;0
Arganzuela;594036225192077925;https://www.airbnb.com/rooms/594036225192077925;Piso de dos habitaciones en Delicias-Atocha;93976087;Milagros;1;t;40.40375;-3.69496;131.0;1;1;1;0;0;0;1;102;4.88;2;1
San Blas - Canillejas;670991216176521758;https://www.airbnb.com/rooms/670991216176521758;Habitación Confortable 2;453793910;Elizabeth;1;f;40.44511;-3.61178;31.0;1;0;1;0;0;0;1;129;4.67;1;0
Moncloa - Aravaca;1113887685993078929;https://www.airbnb.com/rooms/1113887685993078929;Habitación Amarilla;19936472;Apartamentos León;2;f;40.47057827163245;-3.729322338723648;50.0;1;1;1;0;1;0;1;0;0.0;1;1
